ticket_id,customer_id,issue_type,issue_description,ticket_status,created_timestamp
TKT000001,CUST000021,GENERAL,General enquiry about interest rates on fixed deposits. Provided current rate card and closed the ticket.,RESOLVED,2026-05-29 08:15:48.090086
TKT000002,CUST000299,DISPUTE,Customer disputes a duplicate charge from MakeMyTrip. Raised a chargeback and provisionally credited the amount.,CLOSED,2026-07-18 08:15:48.090086
TKT000003,CUST000324,CARD_DECLINED,Transaction declined due to the card being temporarily blocked after suspected fraud. Verified customer identity and re-enabled the card.,CLOSED,2026-06-22 08:15:48.090086
TKT000004,CUST000271,LOGIN,Customer unable to log in to the mobile app. Reset credentials and confirmed successful login.,CLOSED,2026-07-03 08:15:48.090086
TKT000005,CUST000185,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",RESOLVED,2026-07-07 08:15:48.090086
TKT000006,CUST000222,LOGIN,Customer unable to log in to the mobile app. Reset credentials and confirmed successful login.,IN_PROGRESS,2026-04-04 08:15:48.090086
TKT000007,CUST000079,LOAN,Customer enquired about a personal loan top-up. Shared eligibility and current interest rates; no action required.,RESOLVED,2026-07-09 08:15:48.090086
TKT000008,CUST000447,DISPUTE,Customer disputes a duplicate charge from Croma. Raised a chargeback and provisionally credited the amount.,OPEN,2026-05-10 08:15:48.090086
TKT000009,CUST000425,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",RESOLVED,2026-02-20 08:15:48.090086
TKT000010,CUST000034,DISPUTE,Customer disputes a duplicate charge from IRCTC. Raised a chargeback and provisionally credited the amount.,CLOSED,2026-04-23 08:15:48.090086
TKT000011,CUST000272,LOGIN,Customer unable to log in to the mobile app. Reset credentials and confirmed successful login.,RESOLVED,2026-02-27 08:15:48.090086
TKT000012,CUST000034,LOAN,Customer enquired about a personal loan top-up. Shared eligibility and current interest rates; no action required.,OPEN,2026-05-01 08:15:48.090086
TKT000013,CUST000345,CARD_DECLINED,Customer's card was declined at Flipkart. Investigation showed the card had reached its credit limit; advised customer to make a payment or request a limit increase.,CLOSED,2026-05-10 08:15:48.090086
TKT000014,CUST000265,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",RESOLVED,2026-06-06 08:15:48.090086
TKT000015,CUST000481,LOAN,Customer enquired about a personal loan top-up. Shared eligibility and current interest rates; no action required.,OPEN,2026-04-05 08:15:48.090086
TKT000016,CUST000390,DISPUTE,Customer disputes a duplicate charge from Croma. Raised a chargeback and provisionally credited the amount.,RESOLVED,2026-05-16 08:15:48.090086
TKT000017,CUST000194,DISPUTE,Customer disputes a duplicate charge from Flipkart. Raised a chargeback and provisionally credited the amount.,CLOSED,2026-04-19 08:15:48.090086
TKT000018,CUST000068,DISPUTE,Customer disputes a duplicate charge from Croma. Raised a chargeback and provisionally credited the amount.,OPEN,2026-07-13 08:15:48.090086
TKT000019,CUST000194,CARD_DECLINED,Customer's card was declined at IRCTC. Investigation showed the card had reached its credit limit; advised customer to make a payment or request a limit increase.,IN_PROGRESS,2026-02-19 08:15:48.090086
TKT000020,CUST000030,DISPUTE,Customer disputes a duplicate charge from Croma. Raised a chargeback and provisionally credited the amount.,IN_PROGRESS,2026-04-18 08:15:48.090086
TKT000021,CUST000285,LOGIN,Customer unable to log in to the mobile app. Reset credentials and confirmed successful login.,IN_PROGRESS,2026-02-19 08:15:48.090086
TKT000022,CUST000140,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",OPEN,2026-03-14 08:15:48.090086
TKT000023,CUST000364,LOGIN,Customer unable to log in to the mobile app. Reset credentials and confirmed successful login.,IN_PROGRESS,2026-04-06 08:15:48.090086
TKT000024,CUST000435,LOGIN,Customer unable to log in to the mobile app. Reset credentials and confirmed successful login.,OPEN,2026-02-22 08:15:48.090086
TKT000025,CUST000009,LOGIN,Customer unable to log in to the mobile app. Reset credentials and confirmed successful login.,CLOSED,2026-06-13 08:15:48.090086
TKT000026,CUST000337,DISPUTE,Customer disputes a duplicate charge from MakeMyTrip. Raised a chargeback and provisionally credited the amount.,RESOLVED,2026-04-16 08:15:48.090086
TKT000027,CUST000389,CARD_DECLINED,Customer's card was declined at MakeMyTrip. Investigation showed the card had reached its credit limit; advised customer to make a payment or request a limit increase.,OPEN,2026-04-23 08:15:48.090086
TKT000028,CUST000210,DISPUTE,Customer disputes a duplicate charge from Flipkart. Raised a chargeback and provisionally credited the amount.,OPEN,2026-07-12 08:15:48.090086
TKT000029,CUST000363,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",CLOSED,2026-04-18 08:15:48.090086
TKT000030,CUST000477,DISPUTE,Customer disputes a duplicate charge from Amazon India. Raised a chargeback and provisionally credited the amount.,OPEN,2026-05-28 08:15:48.090086
TKT000031,CUST000170,CARD_DECLINED,Transaction declined due to the card being temporarily blocked after suspected fraud. Verified customer identity and re-enabled the card.,RESOLVED,2026-02-23 08:15:48.090086
TKT000032,CUST000252,DISPUTE,Customer disputes a duplicate charge from MakeMyTrip. Raised a chargeback and provisionally credited the amount.,RESOLVED,2026-05-18 08:15:48.090086
TKT000033,CUST000247,LOGIN,Customer unable to log in to the mobile app. Reset credentials and confirmed successful login.,RESOLVED,2026-03-13 08:15:48.090086
TKT000034,CUST000480,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",RESOLVED,2026-06-24 08:15:48.090086
TKT000035,CUST000404,LOAN,Customer enquired about a personal loan top-up. Shared eligibility and current interest rates; no action required.,OPEN,2026-02-23 08:15:48.090086
TKT000036,CUST000097,LOAN,Customer enquired about a personal loan top-up. Shared eligibility and current interest rates; no action required.,IN_PROGRESS,2026-03-16 08:15:48.090086
TKT000037,CUST000143,CARD_DECLINED,Customer's card was declined at IRCTC. Investigation showed the card had reached its credit limit; advised customer to make a payment or request a limit increase.,RESOLVED,2026-02-17 08:15:48.090086
TKT000038,CUST000454,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",IN_PROGRESS,2026-05-11 08:15:48.090086
TKT000039,CUST000180,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",OPEN,2026-04-28 08:15:48.090086
TKT000040,CUST000352,DISPUTE,Customer disputes a duplicate charge from Flipkart. Raised a chargeback and provisionally credited the amount.,CLOSED,2026-02-15 08:15:48.090086
TKT000041,CUST000491,CARD_DECLINED,Transaction declined due to the card being temporarily blocked after suspected fraud. Verified customer identity and re-enabled the card.,OPEN,2026-07-03 08:15:48.090086
TKT000042,CUST000012,LOGIN,Customer unable to log in to the mobile app. Reset credentials and confirmed successful login.,CLOSED,2026-05-31 08:15:48.090086
TKT000043,CUST000447,CARD_DECLINED,Customer's card was declined at IRCTC. Investigation showed the card had reached its credit limit; advised customer to make a payment or request a limit increase.,OPEN,2026-05-27 08:15:48.090086
TKT000044,CUST000097,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",CLOSED,2026-04-18 08:15:48.090086
TKT000045,CUST000203,LOGIN,Customer unable to log in to the mobile app. Reset credentials and confirmed successful login.,CLOSED,2026-05-04 08:15:48.090086
TKT000046,CUST000447,GENERAL,General enquiry about interest rates on fixed deposits. Provided current rate card and closed the ticket.,RESOLVED,2026-07-08 08:15:48.090086
TKT000047,CUST000087,CARD_DECLINED,Transaction declined due to the card being temporarily blocked after suspected fraud. Verified customer identity and re-enabled the card.,OPEN,2026-02-01 08:15:48.090086
TKT000048,CUST000387,CARD_DECLINED,Customer's card was declined at Flipkart. Investigation showed the card had reached its credit limit; advised customer to make a payment or request a limit increase.,CLOSED,2026-04-28 08:15:48.090086
TKT000049,CUST000033,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",RESOLVED,2026-05-01 08:15:48.090086
TKT000050,CUST000019,CARD_DECLINED,Customer's card was declined at Flipkart. Investigation showed the card had reached its credit limit; advised customer to make a payment or request a limit increase.,RESOLVED,2026-03-11 08:15:48.090086
TKT000051,CUST000480,CARD_DECLINED,Transaction declined due to the card being temporarily blocked after suspected fraud. Verified customer identity and re-enabled the card.,RESOLVED,2026-03-17 08:15:48.090086
TKT000052,CUST000153,LOGIN,Customer unable to log in to the mobile app. Reset credentials and confirmed successful login.,RESOLVED,2026-05-14 08:15:48.090086
TKT000053,CUST000200,CARD_DECLINED,Customer's card was declined at IRCTC. Investigation showed the card had reached its credit limit; advised customer to make a payment or request a limit increase.,OPEN,2026-06-18 08:15:48.090086
TKT000054,CUST000091,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",IN_PROGRESS,2026-02-22 08:15:48.090086
TKT000055,CUST000098,CARD_DECLINED,Transaction declined due to the card being temporarily blocked after suspected fraud. Verified customer identity and re-enabled the card.,RESOLVED,2026-05-07 08:15:48.090086
TKT000056,CUST000298,DISPUTE,Customer disputes a duplicate charge from Swiggy. Raised a chargeback and provisionally credited the amount.,CLOSED,2026-02-06 08:15:48.090086
TKT000057,CUST000208,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",RESOLVED,2026-04-22 08:15:48.090086
TKT000058,CUST000419,GENERAL,General enquiry about interest rates on fixed deposits. Provided current rate card and closed the ticket.,IN_PROGRESS,2026-02-05 08:15:48.090086
TKT000059,CUST000407,DISPUTE,Customer disputes a duplicate charge from IRCTC. Raised a chargeback and provisionally credited the amount.,RESOLVED,2026-06-09 08:15:48.090086
TKT000060,CUST000375,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",CLOSED,2026-06-17 08:15:48.090086
TKT000061,CUST000442,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",RESOLVED,2026-03-11 08:15:48.090086
TKT000062,CUST000385,LOGIN,Customer unable to log in to the mobile app. Reset credentials and confirmed successful login.,RESOLVED,2026-03-12 08:15:48.090086
TKT000063,CUST000127,LOGIN,Customer unable to log in to the mobile app. Reset credentials and confirmed successful login.,OPEN,2026-04-08 08:15:48.090086
TKT000064,CUST000467,LOGIN,Customer unable to log in to the mobile app. Reset credentials and confirmed successful login.,RESOLVED,2026-05-16 08:15:48.090086
TKT000065,CUST000289,CARD_DECLINED,Transaction declined due to the card being temporarily blocked after suspected fraud. Verified customer identity and re-enabled the card.,OPEN,2026-04-02 08:15:48.090086
TKT000066,CUST000055,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",RESOLVED,2026-03-27 08:15:48.090086
TKT000067,CUST000119,GENERAL,General enquiry about interest rates on fixed deposits. Provided current rate card and closed the ticket.,CLOSED,2026-03-27 08:15:48.090086
TKT000068,CUST000492,LOGIN,Customer unable to log in to the mobile app. Reset credentials and confirmed successful login.,IN_PROGRESS,2026-03-15 08:15:48.090086
TKT000069,CUST000446,LOGIN,Customer unable to log in to the mobile app. Reset credentials and confirmed successful login.,OPEN,2026-04-25 08:15:48.090086
TKT000070,CUST000486,CARD_DECLINED,Transaction declined due to the card being temporarily blocked after suspected fraud. Verified customer identity and re-enabled the card.,CLOSED,2026-06-15 08:15:48.090086
TKT000071,CUST000287,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",RESOLVED,2026-05-02 08:15:48.090086
TKT000072,CUST000294,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",IN_PROGRESS,2026-01-30 08:15:48.090086
TKT000073,CUST000165,DISPUTE,Customer disputes a duplicate charge from Flipkart. Raised a chargeback and provisionally credited the amount.,OPEN,2026-05-14 08:15:48.090086
TKT000074,CUST000390,GENERAL,General enquiry about interest rates on fixed deposits. Provided current rate card and closed the ticket.,CLOSED,2026-06-17 08:15:48.090086
TKT000075,CUST000250,GENERAL,General enquiry about interest rates on fixed deposits. Provided current rate card and closed the ticket.,CLOSED,2026-07-20 08:15:48.090086
TKT000076,CUST000016,LOGIN,Customer unable to log in to the mobile app. Reset credentials and confirmed successful login.,RESOLVED,2026-07-20 08:15:48.090086
TKT000077,CUST000392,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",OPEN,2026-06-11 08:15:48.090086
TKT000078,CUST000302,LOAN,Customer enquired about a personal loan top-up. Shared eligibility and current interest rates; no action required.,CLOSED,2026-06-15 08:15:48.090086
TKT000079,CUST000215,GENERAL,General enquiry about interest rates on fixed deposits. Provided current rate card and closed the ticket.,OPEN,2026-05-10 08:15:48.090086
TKT000080,CUST000458,LOGIN,Customer unable to log in to the mobile app. Reset credentials and confirmed successful login.,CLOSED,2026-06-29 08:15:48.090086
TKT000081,CUST000387,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",CLOSED,2026-06-25 08:15:48.090086
TKT000082,CUST000494,LOAN,Customer enquired about a personal loan top-up. Shared eligibility and current interest rates; no action required.,CLOSED,2026-05-12 08:15:48.090086
TKT000083,CUST000211,DISPUTE,Customer disputes a duplicate charge from Amazon India. Raised a chargeback and provisionally credited the amount.,CLOSED,2026-06-23 08:15:48.090086
TKT000084,CUST000116,LOGIN,Customer unable to log in to the mobile app. Reset credentials and confirmed successful login.,CLOSED,2026-06-02 08:15:48.090086
TKT000085,CUST000190,DISPUTE,Customer disputes a duplicate charge from MakeMyTrip. Raised a chargeback and provisionally credited the amount.,OPEN,2026-06-27 08:15:48.090086
TKT000086,CUST000065,GENERAL,General enquiry about interest rates on fixed deposits. Provided current rate card and closed the ticket.,CLOSED,2026-01-29 08:15:48.090086
TKT000087,CUST000339,CARD_DECLINED,Customer's card was declined at MakeMyTrip. Investigation showed the card had reached its credit limit; advised customer to make a payment or request a limit increase.,OPEN,2026-07-17 08:15:48.090086
TKT000088,CUST000335,DISPUTE,Customer disputes a duplicate charge from Croma. Raised a chargeback and provisionally credited the amount.,RESOLVED,2026-02-21 08:15:48.090086
TKT000089,CUST000264,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",IN_PROGRESS,2026-01-30 08:15:48.090086
TKT000090,CUST000119,LOAN,Customer enquired about a personal loan top-up. Shared eligibility and current interest rates; no action required.,CLOSED,2026-05-29 08:15:48.090086
TKT000091,CUST000241,DISPUTE,Customer disputes a duplicate charge from Amazon India. Raised a chargeback and provisionally credited the amount.,IN_PROGRESS,2026-07-13 08:15:48.090086
TKT000092,CUST000315,CARD_DECLINED,Transaction declined due to the card being temporarily blocked after suspected fraud. Verified customer identity and re-enabled the card.,OPEN,2026-07-12 08:15:48.090086
TKT000093,CUST000109,DISPUTE,Customer disputes a duplicate charge from Amazon India. Raised a chargeback and provisionally credited the amount.,CLOSED,2026-04-07 08:15:48.090086
TKT000094,CUST000482,CARD_DECLINED,Customer's card was declined at Amazon India. Investigation showed the card had reached its credit limit; advised customer to make a payment or request a limit increase.,IN_PROGRESS,2026-07-16 08:15:48.090086
